run_id,fold,horizon,seed,lookback,model_family,confidence_threshold,n_total,n_active,active_fraction,macro_f1,mcc
fold_1__h50__seed_1__lb20__supervised,1,50,1,20,matrix_transformer,0.0,38378,38378,1.0,0.6404663187829639,0.45689131505843816
fold_1__h50__seed_1__lb20__supervised,1,50,1,20,matrix_transformer,0.5,38378,34045,0.8870967741935484,0.6699861373559117,0.500311364711183
fold_1__h50__seed_1__lb20__supervised,1,50,1,20,matrix_transformer,0.6,38378,27684,0.7213507738808692,0.7088976876077648,0.5632858802421826
fold_1__h50__seed_1__lb20__supervised,1,50,1,20,matrix_transformer,0.7,38378,21480,0.5596956589712856,0.7486145547592883,0.6285932646997757
fold_1__h50__seed_1__lb20__supervised,1,50,1,20,matrix_transformer,0.8,38378,15089,0.39316796081088123,0.7906180698643706,0.6982271936922554
fold_1__h50__seed_1__lb20__supervised,1,50,1,20,matrix_transformer,0.9,38378,7592,0.19782166866433895,0.8509842881013966,0.8002461878246262
fold_1__h50__seed_1__lb20__deeplob_style__supervised,1,50,1,20,deeplob_style,0.0,38378,38378,1.0,0.39990974679487845,0.21418635041635695
fold_1__h50__seed_1__lb20__deeplob_style__supervised,1,50,1,20,deeplob_style,0.5,38378,29107,0.7584293084579707,0.42077418517433,0.2538375126618253
fold_1__h50__seed_1__lb20__deeplob_style__supervised,1,50,1,20,deeplob_style,0.6,38378,11077,0.2886289019750899,0.6213963356632557,0.4598121276291186
fold_1__h50__seed_1__lb20__deeplob_style__supervised,1,50,1,20,deeplob_style,0.7,38378,6421,0.16730939600812966,0.7139245389317845,0.5783988055251531
fold_1__h50__seed_1__lb20__deeplob_style__supervised,1,50,1,20,deeplob_style,0.8,38378,3201,0.08340716035228517,0.8105207162519283,0.7196274543603176
fold_1__h50__seed_1__lb20__deeplob_style__supervised,1,50,1,20,deeplob_style,0.9,38378,786,0.020480483610401792,0.8840420261261595,0.8422354127693438
fold_1__h50__seed_1__lb50__supervised,1,50,1,50,matrix_transformer,0.0,38348,38348,1.0,0.5138896310575322,0.2823014793742956
fold_1__h50__seed_1__lb50__supervised,1,50,1,50,matrix_transformer,0.5,38348,32035,0.8353760300406801,0.5390051800948371,0.3197487406587424
