ablation_family,ablation_name,fold_id,model_name,split,metric_name,metric_value,baseline_value,delta_vs_baseline,status,skip_reason
feature_groups,price_only,fold_4,logistic,validation,macro_f1,0.2948430000824504,0.34610236672458944,-0.05125936664213904,ok,
feature_groups,price_only,fold_4,logistic,validation,mcc,0.09348903922514099,0.1374370891239947,-0.0439480498988537,ok,
feature_groups,price_only,fold_4,logistic,test,accuracy,0.5851660198361363,0.5945091274974845,-0.009343107661348271,ok,
feature_groups,price_only,fold_4,logistic,test,macro_f1,0.2566762093794004,0.31890180798174184,-0.06222559860234145,ok,
feature_groups,price_only,fold_4,logistic,test,mcc,0.052332797535014096,0.12976720989395235,-0.07743441235893825,ok,
feature_groups,labels_excluded,fold_4,logistic,validation,accuracy,0.6641884670786673,0.6641884670786673,0.0,ok,
feature_groups,labels_excluded,fold_4,logistic,validation,macro_f1,0.34610236672458944,0.34610236672458944,0.0,ok,
feature_groups,labels_excluded,fold_4,logistic,validation,mcc,0.1374370891239947,0.1374370891239947,0.0,ok,
feature_groups,labels_excluded,fold_4,logistic,test,accuracy,0.5945091274974845,0.5945091274974845,0.0,ok,
feature_groups,labels_excluded,fold_4,logistic,test,macro_f1,0.31890180798174184,0.31890180798174184,0.0,ok,
feature_groups,labels_excluded,fold_4,logistic,test,mcc,0.12976720989395235,0.12976720989395235,0.0,ok,
horizon,horizon_10,fold_4,logistic,validation,accuracy,0.6641884670786673,0.6641884670786673,0.0,ok,
horizon,horizon_10,fold_4,logistic,validation,macro_f1,0.34610236672458944,0.34610236672458944,0.0,ok,
horizon,horizon_10,fold_4,logistic,validation,mcc,0.1374370891239947,0.1374370891239947,0.0,ok,
horizon,horizon_10,fold_4,logistic,test,accuracy,0.5945091274974845,0.5945091274974845,0.0,ok,
horizon,horizon_10,fold_4,logistic,test,macro_f1,0.31890180798174184,0.31890180798174184,0.0,ok,
horizon,horizon_10,fold_4,logistic,test,mcc,0.12976720989395235,0.12976720989395235,0.0,ok,
horizon,horizon_50,fold_4,logistic,validation,accuracy,0.46921611449282097,0.6641884670786673,-0.19497235258584633,ok,
horizon,horizon_50,fold_4,logistic,validation,macro_f1,0.4603192868222459,0.34610236672458944,0.11421692009765644,ok,
horizon,horizon_50,fold_4,logistic,validation,mcc,0.1935663750315018,0.1374370891239947,0.0561292859075071,ok,
horizon,horizon_50,fold_4,logistic,test,accuracy,0.46821905993962915,0.5945091274974845,-0.12629006755785538,ok,
horizon,horizon_50,fold_4,logistic,test,macro_f1,0.46429037131159756,0.31890180798174184,0.14538856332985572,ok,
horizon,horizon_50,fold_4,logistic,test,mcc,0.19805214644955985,0.12976720989395235,0.0682849365556075,ok,
horizon,horizon_100,fold_4,logistic,validation,accuracy,0.4427303563960783,0.6641884670786673,-0.22145811068258903,ok,
horizon,horizon_100,fold_4,logistic,validation,macro_f1,0.3795899366228952,0.34610236672458944,0.03348756989830576,ok,
horizon,horizon_100,fold_4,logistic,validation,mcc,0.14726910061693765,0.1374370891239947,0.009832011492942966,ok,
horizon,horizon_100,fold_4,logistic,test,accuracy,0.5453787552105793,0.5945091274974845,-0.0491303722869052,ok,
horizon,horizon_100,fold_4,logistic,test,macro_f1,0.41776847635305064,0.31890180798174184,0.09886666837130881,ok,
horizon,horizon_100,fold_4,logistic,test,mcc,0.22273372359950366,0.12976720989395235,0.09296651370555131,ok,
feature_groups,all_features,fold_5,logistic,validation,accuracy,0.6327698406761912,0.6327698406761912,0.0,ok,
feature_groups,all_features,fold_5,logistic,validation,macro_f1,0.35152156743414315,0.35152156743414315,0.0,ok,
feature_groups,all_features,fold_5,logistic,validation,mcc,0.1348538475405057,0.1348538475405057,0.0,ok,
feature_groups,all_features,fold_5,logistic,test,accuracy,0.6218583980384144,0.6218583980384144,0.0,ok,
feature_groups,all_features,fold_5,logistic,test,macro_f1,0.3417645413774361,0.3417645413774361,0.0,ok,
feature_groups,all_features,fold_5,logistic,test,mcc,0.14147865764471945,0.14147865764471945,0.0,ok,
