ablation_family,ablation_name,fold_id,model_name,split,metric_name,metric_value,baseline_value,delta_vs_baseline,status,skip_reason,baseline_model
model_class,logistic,fold_5,logistic,validation,macro_f1,0.3515215674341431,0.4132477502249129,-0.0617261827907698,ok,,gradient_boosting
model_class,majority,fold_5,majority,validation,macro_f1,0.2573781533186383,0.4132477502249129,-0.1558695969062746,ok,,gradient_boosting
model_class,random_forest,fold_5,random_forest,validation,macro_f1,0.3898690220800145,0.4132477502249129,-0.023378728144898386,ok,,gradient_boosting
model_class,ridge,fold_5,ridge,validation,macro_f1,0.3344670276213164,0.4132477502249129,-0.07878072260359648,ok,,gradient_boosting
model_class,elastic_net,fold_1,elastic_net,validation,mcc,0.0950860297145298,0.1942128365522771,-0.09912680683774731,ok,,gradient_boosting
model_class,gradient_boosting,fold_1,gradient_boosting,validation,mcc,0.1942128365522771,0.1942128365522771,0.0,ok,,gradient_boosting
model_class,logistic,fold_1,logistic,validation,mcc,0.0960114110643844,0.1942128365522771,-0.09820142548789271,ok,,gradient_boosting
model_class,majority,fold_1,majority,validation,mcc,0.0,0.1942128365522771,-0.1942128365522771,ok,,gradient_boosting
model_class,random_forest,fold_1,random_forest,validation,mcc,0.156573066118182,0.1942128365522771,-0.03763977043409511,ok,,gradient_boosting
model_class,ridge,fold_1,ridge,validation,mcc,0.0779952417437412,0.1942128365522771,-0.11621759480853591,ok,,gradient_boosting
model_class,elastic_net,fold_2,elastic_net,validation,mcc,0.1218413050262075,0.2358800438308247,-0.11403873880461719,ok,,gradient_boosting
model_class,gradient_boosting,fold_2,gradient_boosting,validation,mcc,0.2358800438308247,0.2358800438308247,0.0,ok,,gradient_boosting
model_class,logistic,fold_2,logistic,validation,mcc,0.1212765832841983,0.2358800438308247,-0.1146034605466264,ok,,gradient_boosting
model_class,majority,fold_2,majority,validation,mcc,0.0,0.2358800438308247,-0.2358800438308247,ok,,gradient_boosting
model_class,random_forest,fold_2,random_forest,validation,mcc,0.1788094611073062,0.2358800438308247,-0.057070582723518504,ok,,gradient_boosting
model_class,ridge,fold_2,ridge,validation,mcc,0.1133683321631689,0.2358800438308247,-0.1225117116676558,ok,,gradient_boosting
model_class,elastic_net,fold_3,elastic_net,validation,mcc,0.0944636526143303,0.2253159944039386,-0.1308523417896083,ok,,gradient_boosting
model_class,gradient_boosting,fold_3,gradient_boosting,validation,mcc,0.2253159944039386,0.2253159944039386,0.0,ok,,gradient_boosting
model_class,logistic,fold_3,logistic,validation,mcc,0.0937592444256662,0.2253159944039386,-0.13155674997827238,ok,,gradient_boosting
model_class,majority,fold_3,majority,validation,mcc,0.0,0.2253159944039386,-0.2253159944039386,ok,,gradient_boosting
model_class,random_forest,fold_3,random_forest,validation,mcc,0.1526499761700578,0.2253159944039386,-0.0726660182338808,ok,,gradient_boosting
model_class,ridge,fold_3,ridge,validation,mcc,0.0880392936716679,0.2253159944039386,-0.1372767007322707,ok,,gradient_boosting
model_class,elastic_net,fold_4,elastic_net,validation,mcc,0.1375665561305858,0.2396108950930724,-0.1020443389624866,ok,,gradient_boosting
model_class,gradient_boosting,fold_4,gradient_boosting,validation,mcc,0.2396108950930724,0.2396108950930724,0.0,ok,,gradient_boosting
model_class,logistic,fold_4,logistic,validation,mcc,0.1374370891239947,0.2396108950930724,-0.10217380596907771,ok,,gradient_boosting
model_class,majority,fold_4,majority,validation,mcc,0.0,0.2396108950930724,-0.2396108950930724,ok,,gradient_boosting
model_class,random_forest,fold_4,random_forest,validation,mcc,0.1579133373473408,0.2396108950930724,-0.08169755774573159,ok,,gradient_boosting
model_class,ridge,fold_4,ridge,validation,mcc,0.1332945639184061,0.2396108950930724,-0.1063163311746663,ok,,gradient_boosting
model_class,elastic_net,fold_5,elastic_net,validation,mcc,0.1352077697513017,0.2107171922751775,-0.0755094225238758,ok,,gradient_boosting
model_class,gradient_boosting,fold_5,gradient_boosting,validation,mcc,0.2107171922751775,0.2107171922751775,0.0,ok,,gradient_boosting
model_class,logistic,fold_5,logistic,validation,mcc,0.1348538475405057,0.2107171922751775,-0.0758633447346718,ok,,gradient_boosting
model_class,majority,fold_5,majority,validation,mcc,0.0,0.2107171922751775,-0.2107171922751775,ok,,gradient_boosting
model_class,random_forest,fold_5,random_forest,validation,mcc,0.1695961673893257,0.2107171922751775,-0.04112102488585179,ok,,gradient_boosting
model_class,ridge,fold_5,ridge,validation,mcc,0.1265976487987953,0.2107171922751775,-0.0841195434763822,ok,,gradient_boosting
