ablation_family,ablation_name,fold_id,model_name,split,metric_name,metric_value,baseline_value,delta_vs_baseline,status,skip_reason,confidence_threshold,cost_bps,latency_steps
execution,cost_0.5_latency_0,fold_1,gradient_boosting,test,net_signal_return_proxy,12.560061575362836,13.060061575362836,-0.5,ok,,0.0,0.5,0
execution,cost_0.5_latency_0,fold_1,gradient_boosting,test,gross_signal_return_proxy,13.060061575362836,13.060061575362836,0.0,ok,,0.0,0.5,0
execution,cost_0.5_latency_0,fold_1,gradient_boosting,test,turnover_proxy,18264.0,18264.0,0.0,ok,,0.0,0.5,0
execution,cost_1_latency_0,fold_1,gradient_boosting,test,net_signal_return_proxy,12.060061575362836,13.060061575362836,-1.0,ok,,0.0,1.0,0
execution,cost_1_latency_0,fold_1,gradient_boosting,test,gross_signal_return_proxy,13.060061575362836,13.060061575362836,0.0,ok,,0.0,1.0,0
execution,cost_1_latency_0,fold_1,gradient_boosting,test,turnover_proxy,18264.0,18264.0,0.0,ok,,0.0,1.0,0
execution,cost_5_latency_0,fold_1,gradient_boosting,test,net_signal_return_proxy,8.060061575362836,13.060061575362836,-5.0,ok,,0.0,5.0,0
execution,cost_5_latency_0,fold_1,gradient_boosting,test,gross_signal_return_proxy,13.060061575362836,13.060061575362836,0.0,ok,,0.0,5.0,0
execution,cost_5_latency_0,fold_1,gradient_boosting,test,turnover_proxy,18264.0,18264.0,0.0,ok,,0.0,5.0,0
execution,cost_0_latency_1,fold_1,gradient_boosting,test,net_signal_return_proxy,9.235994788618036,13.060061575362836,-3.8240667867447993,ok,,0.0,0.0,1
execution,cost_0_latency_1,fold_1,gradient_boosting,test,gross_signal_return_proxy,9.235994788618036,13.060061575362836,-3.8240667867447993,ok,,0.0,0.0,1
execution,cost_0_latency_1,fold_1,gradient_boosting,test,turnover_proxy,18263.0,18264.0,-1.0,ok,,0.0,0.0,1
execution,cost_0.5_latency_1,fold_1,gradient_boosting,test,net_signal_return_proxy,8.735994788618036,13.060061575362836,-4.324066786744799,ok,,0.0,0.5,1
execution,cost_0.5_latency_1,fold_1,gradient_boosting,test,gross_signal_return_proxy,9.235994788618036,13.060061575362836,-3.8240667867447993,ok,,0.0,0.5,1
execution,cost_0.5_latency_1,fold_1,gradient_boosting,test,turnover_proxy,18263.0,18264.0,-1.0,ok,,0.0,0.5,1
execution,cost_1_latency_1,fold_1,gradient_boosting,test,net_signal_return_proxy,8.235994788618036,13.060061575362836,-4.824066786744799,ok,,0.0,1.0,1
execution,cost_1_latency_1,fold_1,gradient_boosting,test,gross_signal_return_proxy,9.235994788618036,13.060061575362836,-3.8240667867447993,ok,,0.0,1.0,1
execution,cost_1_latency_1,fold_1,gradient_boosting,test,turnover_proxy,18263.0,18264.0,-1.0,ok,,0.0,1.0,1
execution,cost_5_latency_1,fold_1,gradient_boosting,test,net_signal_return_proxy,4.2359947886180365,13.060061575362836,-8.8240667867448,ok,,0.0,5.0,1
execution,cost_5_latency_1,fold_1,gradient_boosting,test,gross_signal_return_proxy,9.235994788618036,13.060061575362836,-3.8240667867447993,ok,,0.0,5.0,1
execution,cost_5_latency_1,fold_1,gradient_boosting,test,turnover_proxy,18263.0,18264.0,-1.0,ok,,0.0,5.0,1
execution,cost_0_latency_0,fold_2,gradient_boosting,test,net_signal_return_proxy,22.291512684678825,22.291512684678825,0.0,ok,,0.0,0.0,0
execution,cost_0_latency_0,fold_2,gradient_boosting,test,gross_signal_return_proxy,22.291512684678825,22.291512684678825,0.0,ok,,0.0,0.0,0
execution,cost_0_latency_0,fold_2,gradient_boosting,test,turnover_proxy,13059.0,13059.0,0.0,ok,,0.0,0.0,0
execution,cost_0.5_latency_0,fold_2,gradient_boosting,test,net_signal_return_proxy,21.791512684678825,22.291512684678825,-0.5,ok,,0.0,0.5,0
execution,cost_0.5_latency_0,fold_2,gradient_boosting,test,gross_signal_return_proxy,22.291512684678825,22.291512684678825,0.0,ok,,0.0,0.5,0
execution,cost_0.5_latency_0,fold_2,gradient_boosting,test,turnover_proxy,13059.0,13059.0,0.0,ok,,0.0,0.5,0
execution,cost_1_latency_0,fold_2,gradient_boosting,test,net_signal_return_proxy,21.291512684678825,22.291512684678825,-1.0,ok,,0.0,1.0,0
execution,cost_1_latency_0,fold_2,gradient_boosting,test,gross_signal_return_proxy,22.291512684678825,22.291512684678825,0.0,ok,,0.0,1.0,0
execution,cost_1_latency_0,fold_2,gradient_boosting,test,turnover_proxy,13059.0,13059.0,0.0,ok,,0.0,1.0,0
execution,cost_5_latency_0,fold_2,gradient_boosting,test,net_signal_return_proxy,17.291512684678825,22.291512684678825,-5.0,ok,,0.0,5.0,0
execution,cost_5_latency_0,fold_2,gradient_boosting,test,gross_signal_return_proxy,22.291512684678825,22.291512684678825,0.0,ok,,0.0,5.0,0
execution,cost_5_latency_0,fold_2,gradient_boosting,test,turnover_proxy,13059.0,13059.0,0.0,ok,,0.0,5.0,0
execution,cost_0_latency_1,fold_2,gradient_boosting,test,net_signal_return_proxy,21.758683561987173,22.291512684678825,-0.532829122691652,ok,,0.0,0.0,1
execution,cost_0_latency_1,fold_2,gradient_boosting,test,gross_signal_return_proxy,21.758683561987173,22.291512684678825,-0.532829122691652,ok,,0.0,0.0,1
execution,cost_0_latency_1,fold_2,gradient_boosting,test,turnover_proxy,13059.0,13059.0,0.0,ok,,0.0,0.0,1
execution,cost_0.5_latency_1,fold_2,gradient_boosting,test,net_signal_return_proxy,21.258683561987173,22.291512684678825,-1.032829122691652,ok,,0.0,0.5,1
execution,cost_0.5_latency_1,fold_2,gradient_boosting,test,gross_signal_return_proxy,21.758683561987173,22.291512684678825,-0.532829122691652,ok,,0.0,0.5,1
execution,cost_0.5_latency_1,fold_2,gradient_boosting,test,turnover_proxy,13059.0,13059.0,0.0,ok,,0.0,0.5,1
execution,cost_1_latency_1,fold_2,gradient_boosting,test,net_signal_return_proxy,20.758683561987173,22.291512684678825,-1.532829122691652,ok,,0.0,1.0,1
execution,cost_1_latency_1,fold_2,gradient_boosting,test,gross_signal_return_proxy,21.758683561987173,22.291512684678825,-0.532829122691652,ok,,0.0,1.0,1
execution,cost_1_latency_1,fold_2,gradient_boosting,test,turnover_proxy,13059.0,13059.0,0.0,ok,,0.0,1.0,1
execution,cost_5_latency_1,fold_2,gradient_boosting,test,net_signal_return_proxy,16.758683561987173,22.291512684678825,-5.532829122691652,ok,,0.0,5.0,1
execution,cost_5_latency_1,fold_2,gradient_boosting,test,gross_signal_return_proxy,21.758683561987173,22.291512684678825,-0.532829122691652,ok,,0.0,5.0,1
execution,cost_5_latency_1,fold_2,gradient_boosting,test,turnover_proxy,13059.0,13059.0,0.0,ok,,0.0,5.0,1
execution,cost_0_latency_0,fold_3,gradient_boosting,test,net_signal_return_proxy,14.82879194225714,14.82879194225714,0.0,ok,,0.0,0.0,0
execution,cost_0_latency_0,fold_3,gradient_boosting,test,gross_signal_return_proxy,14.82879194225714,14.82879194225714,0.0,ok,,0.0,0.0,0
execution,cost_0_latency_0,fold_3,gradient_boosting,test,turnover_proxy,13130.0,13130.0,0.0,ok,,0.0,0.0,0
execution,cost_0.5_latency_0,fold_3,gradient_boosting,test,net_signal_return_proxy,14.32879194225714,14.82879194225714,-0.5,ok,,0.0,0.5,0
execution,cost_0.5_latency_0,fold_3,gradient_boosting,test,gross_signal_return_proxy,14.82879194225714,14.82879194225714,0.0,ok,,0.0,0.5,0
execution,cost_0.5_latency_0,fold_3,gradient_boosting,test,turnover_proxy,13130.0,13130.0,0.0,ok,,0.0,0.5,0
execution,cost_1_latency_0,fold_3,gradient_boosting,test,net_signal_return_proxy,13.82879194225714,14.82879194225714,-1.0,ok,,0.0,1.0,0
execution,cost_1_latency_0,fold_3,gradient_boosting,test,gross_signal_return_proxy,14.82879194225714,14.82879194225714,0.0,ok,,0.0,1.0,0
execution,cost_1_latency_0,fold_3,gradient_boosting,test,turnover_proxy,13130.0,13130.0,0.0,ok,,0.0,1.0,0
execution,cost_5_latency_0,fold_3,gradient_boosting,test,net_signal_return_proxy,9.82879194225714,14.82879194225714,-5.0,ok,,0.0,5.0,0
execution,cost_5_latency_0,fold_3,gradient_boosting,test,gross_signal_return_proxy,14.82879194225714,14.82879194225714,0.0,ok,,0.0,5.0,0
execution,cost_5_latency_0,fold_3,gradient_boosting,test,turnover_proxy,13130.0,13130.0,0.0,ok,,0.0,5.0,0
execution,cost_0_latency_1,fold_3,gradient_boosting,test,net_signal_return_proxy,8.612036942258756,14.82879194225714,-6.216754999998384,ok,,0.0,0.0,1
execution,cost_0_latency_1,fold_3,gradient_boosting,test,gross_signal_return_proxy,8.612036942258756,14.82879194225714,-6.216754999998384,ok,,0.0,0.0,1
execution,cost_0_latency_1,fold_3,gradient_boosting,test,turnover_proxy,13129.0,13130.0,-1.0,ok,,0.0,0.0,1
