model_family,pretraining_objective,horizon,threshold,run_group_count,ok_group_count,status,mean_retained_sample_fraction,mean_active_trade_fraction,mean_classification_accuracy,mean_macro_f1,mean_directional_trade_hit_rate,mean_gross_directional_proxy,mean_net_cost_adjusted_proxy,payoff_mode,cost_mode,model_key
matrix_transformer,next_field,20,0.55,15,15,ok,0.4244195268345668,0.0507537182597149,0.5213230356078159,0.2855848367268715,0.3041125317982337,-852.8666666666667,-852.8666666666667,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,20,0.6,15,14,ok,0.3084776047020034,0.0400510016222183,0.5569608201520778,0.298091610529152,0.3238208047855788,-685.7142857142857,-685.7142857142857,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,20,0.65,15,13,ok,0.2533318527881947,0.031985207855022,0.6007119673977631,0.305379738373735,0.3880873838465017,-564.6923076923077,-564.6923076923077,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,20,0.7,15,13,ok,0.1845571342887502,0.023130185588102,0.6666800671187001,0.3233232528891194,0.4252015621435084,-405.61538461538464,-405.61538461538464,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,20,0.75,15,10,ok,0.1179814572043711,0.0206310217693632,0.7164546317992235,0.3452355905118799,0.325239917606308,-363.7,-363.7,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,20,0.8,15,7,ok,0.0711863620089974,0.0187197090421124,0.7560157781503474,0.3418213845223465,0.2063544550994353,-342.7142857142857,-342.7142857142857,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,20,0.85,15,7,ok,0.0457580600211839,0.0100864994828438,0.7937073055369946,0.3364039605785923,0.1348935974205435,-175.14285714285714,-175.14285714285714,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,20,0.9,15,6,ok,0.0201806237828864,0.0032794146457806,0.8756513759445985,0.3560686639032459,0.2420674346903855,-46.66666666666666,-46.66666666666666,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,20,0.95,15,1,ok,0.0001533232821403,0.0,1.0,0.3333333333333333,,0.0,0.0,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,50,0.33,15,15,ok,1.0,0.7263363237361796,0.4116148442114458,0.3822988716148037,0.4030905770290378,-4668.333333333333,-4668.333333333333,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,50,0.35,15,15,ok,0.9931475083606656,0.7214719504783526,0.4122119990369624,0.3825503417669688,0.4034784151098088,-4611.866666666667,-4611.866666666667,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,50,0.4,15,15,ok,0.7519452749768416,0.5370349334322815,0.4235164856432087,0.3821467439939504,0.4017588260207083,-2384.4666666666667,-2384.4666666666667,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,50,0.45,15,15,ok,0.5540248469812787,0.3817847639577058,0.432153139077679,0.3697705560592387,0.4615781738037214,-1397.1333333333334,-1397.1333333333334,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,50,0.5,15,14,ok,0.3899797570071743,0.2670836651955637,0.4669837931340583,0.38625925131617,0.4633917075663729,-758.8571428571429,-758.8571428571429,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,50,0.55,15,14,ok,0.2812134713128415,0.1722669767234782,0.4947318983140924,0.3782621948749906,0.4715266837050027,-477.6428571428572,-477.6428571428572,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,50,0.6,15,14,ok,0.1776947499132352,0.1103365286471896,0.5248650830622409,0.3653350793635119,0.4732185298646975,-351.35714285714283,-351.35714285714283,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,50,0.65,15,12,ok,0.1154331530441531,0.0843206270015355,0.583154359058352,0.3863715203297348,0.4845210751240543,-325.4166666666667,-325.4166666666667,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,50,0.7,15,12,ok,0.0798943706169493,0.0542928484519512,0.608236210889546,0.3867296731136409,0.4938650367819704,-219.83333333333331,-219.83333333333331,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,50,0.75,15,12,ok,0.0482072762114916,0.0289187609998596,0.6285859244424877,0.3721536100208786,0.4873327755962858,-106.91666666666669,-106.91666666666669,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,50,0.8,15,10,ok,0.0278603425703009,0.0132874587644856,0.6520579109829358,0.3685361818342129,0.4709579759246292,-30.7,-30.7,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,50,0.85,15,10,ok,0.0117375898433986,0.0052693007634732,0.6495932405672162,0.2950114780176561,0.41067553781852,3.9,3.9,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,50,0.9,15,7,ok,0.0065078027409928,0.0044096964451634,0.6731399221604564,0.2597752054404609,0.4610382755927122,7.142857142857143,7.142857142857143,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,50,0.95,15,1,ok,0.0051616041509026,0.0051616041509026,0.6230366492146597,0.2559139784946236,0.6230366492146597,47.0,47.0,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,supervised,10,0.33,15,15,ok,1.0,0.4381400732596694,0.4476840575224404,0.3336073181458961,0.233533981160073,-8243.2,-8243.2,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,10,0.35,15,15,ok,0.9905295614778922,0.4321927124563202,0.4488502205885504,0.3335547412306458,0.2339669234689886,-8131.2,-8131.2,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,10,0.4,15,15,ok,0.8390556180982051,0.3537408089166222,0.4654263265043276,0.3321142484972856,0.229926231129452,-6612.8,-6612.8,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,10,0.45,15,15,ok,0.6575690331196881,0.234806157952234,0.5083078168740165,0.3272112867199696,0.227894690675389,-4295.533333333334,-4295.533333333334,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,10,0.5,15,15,ok,0.496551001353379,0.1244908892498825,0.5668811897028232,0.3271724430881939,0.2186734085292973,-2156.4666666666667,-2156.4666666666667,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,10,0.55,15,15,ok,0.3796042073888103,0.0490106150817387,0.6297054473398194,0.3220508576687538,0.247352149731357,-820.2666666666667,-820.2666666666667,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,10,0.6,15,15,ok,0.3005323592041674,0.0179026564806963,0.6877733391002168,0.3199785161267384,0.2637335973917658,-289.6,-289.6,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,10,0.65,15,14,ok,0.2280834492179515,0.0061935299342709,0.7488047143632448,0.3189919680625959,0.2690939183091457,-104.07142857142856,-104.07142857142856,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,10,0.7,15,12,ok,0.1644187284862497,0.0022066440355659,0.8122650910679989,0.3212036846075328,0.366199354999529,-47.25,-47.25,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,10,0.75,15,12,ok,0.1105295979237746,0.0005156144879093,0.8628669689738432,0.3122620486605174,0.1076224088272281,-16.583333333333332,-16.583333333333332,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,10,0.8,15,12,ok,0.0593145618648309,8.517960118910723e-06,0.9180598940420808,0.3189380080313672,0.0,-0.3333333333333333,-0.3333333333333333,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,10,0.85,15,10,ok,0.0454882940905496,0.0,0.9444315386444015,0.3236812222687045,,0.0,0.0,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,10,0.9,15,6,ok,0.0369904558397636,0.0,0.9575147691942956,0.3260625020597216,,0.0,0.0,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,20,0.33,15,15,ok,1.0,0.6148943383535769,0.409139097736246,0.3711322885696212,0.3059718974351886,-8180.4,-8180.4,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,20,0.35,15,15,ok,0.9880004179029808,0.6054599429425191,0.4103342188794293,0.3718070803806766,0.3068599410716778,-8018.266666666666,-8018.266666666666,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,20,0.4,15,15,ok,0.825934371867436,0.4743093583527946,0.4295289310715587,0.3741455271980027,0.3199670053057602,-6047.6,-6047.6,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,20,0.45,15,15,ok,0.6299989212095753,0.3210282280366919,0.4601309557856083,0.368740746764294,0.3330132623370557,-4066.8,-4066.8,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,20,0.5,15,15,ok,0.4389263250334452,0.2029528696387523,0.5181080147747739,0.3821254257577612,0.3443051059430567,-2607.733333333333,-2607.733333333333,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,20,0.55,15,15,ok,0.2737986270918527,0.1202013569484693,0.5669606753238059,0.3947949172346071,0.343956304201912,-1512.8,-1512.8,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,20,0.6,15,14,ok,0.1872297232585011,0.0611298189492968,0.5655787568376999,0.365356871501334,0.3170450880274555,-738.2857142857143,-738.2857142857143,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,20,0.65,15,13,ok,0.1203047048639059,0.0247512728416561,0.6463074610911773,0.3600846919162438,0.3358527636593919,-306.53846153846155,-306.53846153846155,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,20,0.7,15,12,ok,0.0749136668434373,0.0068873131485292,0.7852626458696045,0.3757998900465982,0.3918734681546389,-105.5,-105.5,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,20,0.75,15,12,ok,0.0448874515986878,0.0007589001004044,0.8714151938136233,0.3405106220917871,0.2767427048774365,-15.166666666666666,-15.166666666666666,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,20,0.8,15,11,ok,0.0318239111092055,1.626156022701138e-05,0.9200270887249928,0.3199406570298169,0.2857142857142857,-0.2727272727272727,-0.2727272727272727,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,20,0.85,15,9,ok,0.02181315526164,0.0,0.9436153521205785,0.3236137485434845,,0.0,0.0,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,20,0.9,15,6,ok,0.011935809275075,0.0,0.9721413022583744,0.3285761069197147,,0.0,0.0,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,20,0.95,15,1,ok,0.00132880177855,0.0,1.0,0.3333333333333333,,0.0,0.0,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,50,0.33,15,15,ok,1.0,0.8526230036733798,0.4416133999559026,0.4179687985365532,0.419072082198609,-4834.666666666667,-4834.666666666667,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,50,0.35,15,15,ok,0.9915285955781628,0.8469813809788905,0.44239283865377,0.4182627369049588,0.419688015647379,-4753.866666666667,-4753.866666666667,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,50,0.4,15,15,ok,0.8821403383959697,0.7639635801710085,0.4522124239729868,0.4200091949686679,0.4283862391424886,-3755.866666666667,-3755.866666666667,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,50,0.45,15,15,ok,0.7021996363411201,0.6091060411679986,0.4677880262507609,0.4206425872362316,0.4411541628043114,-2507.5333333333333,-2507.5333333333333,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,50,0.5,15,15,ok,0.4954743877528062,0.4204148523191727,0.4917090184319895,0.4281270237529217,0.4601213553656652,-1327.8,-1327.8,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,50,0.55,15,15,ok,0.3130732962284608,0.2525436097415836,0.5182315854027982,0.4380651105224578,0.4744683156251773,-644.2,-644.2,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,50,0.6,15,15,ok,0.1721887194100294,0.1238349891800231,0.5558135989644898,0.4571967887568849,0.4875319490854242,-245.53333333333333,-245.53333333333333,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,50,0.65,15,15,ok,0.0857409908178542,0.0482826378506789,0.6073867301708664,0.4600342291412626,0.4989536235928357,-91.66666666666669,-91.66666666666669,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,50,0.7,15,15,ok,0.0439196278291764,0.0152445642263819,0.6863532455490723,0.4187491083687932,0.451778700044802,-26.866666666666667,-26.866666666666667,unit_payoff,unit_proxy,matrix_transformer/supervised
matrix_transformer,supervised,50,0.75,15,15,ok,0.0261179417173502,0.0047972992037907,0.8100269173163842,0.3702029596172193,0.5195692904721971,8.2,8.2,unit_payoff,unit_proxy,matrix_transformer/supervised
