model_family,pretraining_objective,horizon,threshold,run_group_count,ok_group_count,status,mean_retained_sample_fraction,mean_active_trade_fraction,mean_classification_accuracy,mean_macro_f1,mean_directional_trade_hit_rate,mean_gross_directional_proxy,mean_net_cost_adjusted_proxy,payoff_mode,cost_mode
matrix_transformer,next_field,10,0.65,15,15,ok,0.3764023151854232,0.015856988362346412,0.6387200757409767,0.2828266945749854,0.1327498466524876,-334.26666666666665,-334.26666666666665,unit_payoff,unit_proxy
matrix_transformer,next_field,10,0.7,15,15,ok,0.22829888733157194,0.009078050223670463,0.6973444084298891,0.29731856872348117,0.15300704974648616,-187.46666666666667,-187.46666666666667,unit_payoff,unit_proxy
matrix_transformer,next_field,10,0.75,15,13,ok,0.19506518071850204,0.004975008271430274,0.7293900366672182,0.31099658064813424,0.18514202637737628,-102.92307692307692,-102.92307692307692,unit_payoff,unit_proxy
matrix_transformer,next_field,10,0.8,15,10,ok,0.047996983300703275,0.0023178800366599568,0.7230088590348699,0.2972115615715224,0.22579050559617786,-49.5,-49.5,unit_payoff,unit_proxy
matrix_transformer,next_field,10,0.85,15,9,ok,0.03315547113064323,0.0006698344492096497,0.7570945856797835,0.27783151626918406,0.20245180011804054,-8.88888888888889,-8.88888888888889,unit_payoff,unit_proxy
matrix_transformer,next_field,10,0.9,15,9,ok,0.00685857226863848,0.00016397218547868812,0.7603112043182205,0.2676054649138706,0.15384615384615385,-2.111111111111111,-2.111111111111111,unit_payoff,unit_proxy
matrix_transformer,next_field,10,0.95,15,0,skipped,0.0,0.0,,,,0.0,0.0,unit_payoff,unit_proxy
matrix_transformer,next_field,20,0.33,15,15,ok,1.0,0.1962557191465316,0.462551515595891,0.28051516361273166,0.32860328590943855,-2870.6666666666665,-2870.6666666666665,unit_payoff,unit_proxy
matrix_transformer,next_field,20,0.35,15,15,ok,0.9901678011368696,0.1896276409845582,0.46342441497935166,0.2803927388257494,0.32880725306246666,-2768.0,-2768.0,unit_payoff,unit_proxy
matrix_transformer,next_field,20,0.4,15,15,ok,0.8999836095634809,0.14059018819497898,0.47308078716363505,0.2774044560314902,0.32835209605968724,-2114.4,-2114.4,unit_payoff,unit_proxy
matrix_transformer,next_field,20,0.45,15,15,ok,0.778308966345133,0.10109615285025754,0.48467080692778913,0.2769426332671985,0.3118013607011378,-1609.1333333333334,-1609.1333333333334,unit_payoff,unit_proxy
matrix_transformer,next_field,20,0.5,15,15,ok,0.5536144934535071,0.07129087723930455,0.5015766781973211,0.2817224986890236,0.27053196900347853,-1166.2666666666667,-1166.2666666666667,unit_payoff,unit_proxy
