model_family,pretraining_objective,horizon,fold,seed,lookback,partition,latency_step,retained_samples,dropped_samples,active_trades,directional_hit_rate,gross_proxy,net_proxy,degradation_vs_latency_0,net_degradation_vs_latency_0,payoff_mode,cost_mode,status,skipped_reason
matrix_transformer,masked_reconstruction,20,fold_2,1,20,test,2,28514,2,14604,0.24157764995891537,-7548.0,-7548.0,-332.0,-332.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_2,1,20,test,5,28511,5,14604,0.2410983292248699,-7562.0,-7562.0,-346.0,-346.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_2,1,20,test,10,28506,10,14604,0.2390440975075322,-7622.0,-7622.0,-406.0,-406.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_2,2,20,test,0,28516,0,14675,0.24190800681431004,-7575.0,-7575.0,0.0,0.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_2,2,20,test,1,28515,1,14675,0.24088586030664394,-7605.0,-7605.0,-30.0,-30.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_2,2,20,test,2,28514,2,14675,0.2389778534923339,-7661.0,-7661.0,-86.0,-86.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_2,2,20,test,5,28511,5,14675,0.23911413969335604,-7657.0,-7657.0,-82.0,-82.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_2,2,20,test,10,28506,10,14675,0.23816013628620103,-7685.0,-7685.0,-110.0,-110.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_3,0,20,test,0,37004,0,26810,0.29164490861618797,-11172.0,-11172.0,0.0,0.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_3,0,20,test,1,37003,1,26810,0.2884744498321522,-11342.0,-11342.0,-170.0,-170.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_3,0,20,test,2,37002,2,26810,0.2844461022006714,-11558.0,-11558.0,-386.0,-386.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_3,0,20,test,5,36999,5,26807,0.28160555078897304,-11709.0,-11709.0,-537.0,-537.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_3,0,20,test,10,36994,10,26804,0.27854051634084465,-11872.0,-11872.0,-700.0,-700.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_3,1,20,test,0,37004,0,26513,0.31177158375136726,-9981.0,-9981.0,0.0,0.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_3,1,20,test,1,37003,1,26513,0.3053219175498812,-10323.0,-10323.0,-342.0,-342.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_3,1,20,test,2,37002,2,26513,0.2931769320710595,-10967.0,-10967.0,-986.0,-986.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_3,1,20,test,5,36999,5,26513,0.286840417908196,-11303.0,-11303.0,-1322.0,-1322.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_3,1,20,test,10,36994,10,26513,0.28461509448195227,-11421.0,-11421.0,-1440.0,-1440.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_3,2,20,test,0,37004,0,26300,0.3002281368821293,-10508.0,-10508.0,0.0,0.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_3,2,20,test,1,37003,1,26300,0.295361216730038,-10764.0,-10764.0,-256.0,-256.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_3,2,20,test,2,37002,2,26300,0.2856273764258555,-11276.0,-11276.0,-768.0,-768.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_3,2,20,test,5,36999,5,26300,0.2802661596958175,-11558.0,-11558.0,-1050.0,-1050.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_3,2,20,test,10,36994,10,26300,0.27608365019011405,-11778.0,-11778.0,-1270.0,-1270.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_4,0,20,test,0,34766,0,23526,0.32823259372609026,-8082.0,-8082.0,0.0,0.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_4,0,20,test,1,34765,1,23526,0.3222392246875797,-8364.0,-8364.0,-282.0,-282.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_4,0,20,test,2,34764,2,23525,0.3106907545164718,-8907.0,-8907.0,-825.0,-825.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_4,0,20,test,5,34761,5,23522,0.3052036391463311,-9164.0,-9164.0,-1082.0,-1082.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_4,0,20,test,10,34756,10,23517,0.2990602542841349,-9451.0,-9451.0,-1369.0,-1369.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_4,1,20,test,0,34766,0,28697,0.3287800118479284,-9827.0,-9827.0,0.0,0.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_4,1,20,test,1,34765,1,28697,0.31975467818935777,-10345.0,-10345.0,-518.0,-518.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_4,1,20,test,2,34764,2,28696,0.30742960691385557,-11052.0,-11052.0,-1225.0,-1225.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_4,1,20,test,5,34761,5,28693,0.30097933293834733,-11421.0,-11421.0,-1594.0,-1594.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_4,1,20,test,10,34756,10,28688,0.29399051868377024,-11820.0,-11820.0,-1993.0,-1993.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_4,2,20,test,0,34766,0,26030,0.32646945831732616,-9034.0,-9034.0,0.0,0.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_4,2,20,test,1,34765,1,26030,0.3215904725316942,-9288.0,-9288.0,-254.0,-254.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_4,2,20,test,2,34764,2,26029,0.3097698720657728,-9903.0,-9903.0,-869.0,-869.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_4,2,20,test,5,34761,5,26026,0.30050718512256974,-10384.0,-10384.0,-1350.0,-1350.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_4,2,20,test,10,34756,10,26021,0.29103416471311633,-10875.0,-10875.0,-1841.0,-1841.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_5,0,20,test,0,39133,0,22505,0.3123305932015108,-8447.0,-8447.0,0.0,0.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_5,0,20,test,1,39132,1,22505,0.30686514107976004,-8693.0,-8693.0,-246.0,-246.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_5,0,20,test,2,39131,2,22505,0.2968673628082648,-9143.0,-9143.0,-696.0,-696.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_5,0,20,test,5,39128,5,22505,0.2933125972006221,-9303.0,-9303.0,-856.0,-856.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_5,0,20,test,10,39123,10,22505,0.28629193512552764,-9619.0,-9619.0,-1172.0,-1172.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_5,1,20,test,0,39133,0,24112,0.31494691439946915,-8924.0,-8924.0,0.0,0.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_5,1,20,test,1,39132,1,24112,0.3077305905773059,-9272.0,-9272.0,-348.0,-348.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_5,1,20,test,2,39131,2,24112,0.29665726609157267,-9806.0,-9806.0,-882.0,-882.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_5,1,20,test,5,39128,5,24112,0.2899386197743862,-10130.0,-10130.0,-1206.0,-1206.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_5,1,20,test,10,39123,10,24112,0.28288818845388186,-10470.0,-10470.0,-1546.0,-1546.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_5,2,20,test,0,39133,0,24864,0.33047779922779924,-8430.0,-8430.0,0.0,0.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_5,2,20,test,1,39132,1,24864,0.3211470398970399,-8894.0,-8894.0,-464.0,-464.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_5,2,20,test,2,39131,2,24864,0.30328989703989706,-9782.0,-9782.0,-1352.0,-1352.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_5,2,20,test,5,39128,5,24863,0.29437316494389254,-10225.0,-10225.0,-1795.0,-1795.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_5,2,20,test,10,39123,10,24863,0.28757591601978844,-10563.0,-10563.0,-2133.0,-2133.0,unit_payoff,unit_proxy,ok,
