model_name,split,confidence_threshold,cost_bps,latency_steps,eligible_predictions,trade_count_proxy,turnover_proxy,gross_signal_return_proxy,cost_proxy,net_signal_return_proxy,hit_rate_proxy
random_forest,test,0.5,0.5,1,14010,13726,13726.0,4.151622609590719,0.5,3.651622609590719,0.7394718058529621
random_forest,test,0.5,1.0,1,14010,13726,13726.0,4.151622609590719,1.0,3.151622609590719,0.7394718058529621
random_forest,test,0.5,5.0,1,14010,13726,13726.0,4.151622609590719,5.0,-0.8483773904092811,0.7394718058529621
random_forest,test,0.6,0.0,0,9352,9326,9326.0,1.1655949324535564,0.0,1.1655949324535564,0.7959794696321643
random_forest,test,0.6,0.5,0,9352,9326,9326.0,1.1655949324535564,0.5,0.6655949324535564,0.7959794696321643
random_forest,test,0.6,1.0,0,9352,9326,9326.0,1.1655949324535564,1.0,0.1655949324535564,0.7959794696321643
random_forest,test,0.6,5.0,0,9352,9326,9326.0,1.1655949324535564,5.0,-3.8344050675464434,0.7959794696321643
random_forest,test,0.6,0.0,1,9351,9325,9325.0,5.461753166447303,0.0,5.461753166447303,0.7959576515880654
random_forest,test,0.6,0.5,1,9351,9325,9325.0,5.461753166447303,0.5,4.961753166447303,0.7959576515880654
random_forest,test,0.6,1.0,1,9351,9325,9325.0,5.461753166447303,1.0,4.461753166447303,0.7959576515880654
random_forest,test,0.6,5.0,1,9351,9325,9325.0,5.461753166447303,5.0,0.4617531664473029,0.7959576515880654
random_forest,test,0.7,0.0,0,5056,5056,5056.0,0.8325767197857232,0.0,0.8325767197857232,0.8552215189873418
random_forest,test,0.7,0.5,0,5056,5056,5056.0,0.8325767197857232,0.5,0.33257671978572323,0.8552215189873418
random_forest,test,0.7,1.0,0,5056,5056,5056.0,0.8325767197857232,1.0,-0.16742328021427677,0.8552215189873418
random_forest,test,0.7,5.0,0,5056,5056,5056.0,0.8325767197857232,5.0,-4.167423280214277,0.8552215189873418
random_forest,test,0.7,0.0,1,5056,5056,5056.0,8.674349173191214,0.0,8.674349173191214,0.8552215189873418
random_forest,test,0.7,0.5,1,5056,5056,5056.0,8.674349173191214,0.5,8.174349173191214,0.8552215189873418
random_forest,test,0.7,1.0,1,5056,5056,5056.0,8.674349173191214,1.0,7.674349173191214,0.8552215189873418
random_forest,test,0.7,5.0,1,5056,5056,5056.0,8.674349173191214,5.0,3.6743491731912137,0.8552215189873418
gradient_boosting,test,0.0,0.0,0,20285,18342,18342.0,-4.740023717907377,0.0,-4.740023717907377,0.6587626324870594
gradient_boosting,test,0.0,0.5,0,20285,18342,18342.0,-4.740023717907377,0.5,-5.240023717907377,0.6587626324870594
gradient_boosting,test,0.0,1.0,0,20285,18342,18342.0,-4.740023717907377,1.0,-5.740023717907377,0.6587626324870594
gradient_boosting,test,0.0,5.0,0,20285,18342,18342.0,-4.740023717907377,5.0,-9.740023717907377,0.6587626324870594
gradient_boosting,test,0.0,0.0,1,20284,18341,18341.0,-5.367769588334111,0.0,-5.367769588334111,0.6586965095641886
gradient_boosting,test,0.0,0.5,1,20284,18341,18341.0,-5.367769588334111,0.5,-5.867769588334111,0.6586965095641886
gradient_boosting,test,0.0,1.0,1,20284,18341,18341.0,-5.367769588334111,1.0,-6.367769588334111,0.6586965095641886
gradient_boosting,test,0.0,5.0,1,20284,18341,18341.0,-5.367769588334111,5.0,-10.367769588334111,0.6586965095641886
gradient_boosting,test,0.5,0.0,0,15065,14602,14602.0,-1.3892558089581204,0.0,-1.3892558089581204,0.7383338864918686
gradient_boosting,test,0.5,0.5,0,15065,14602,14602.0,-1.3892558089581204,0.5,-1.8892558089581204,0.7383338864918686
gradient_boosting,test,0.5,1.0,0,15065,14602,14602.0,-1.3892558089581204,1.0,-2.3892558089581204,0.7383338864918686
gradient_boosting,test,0.5,5.0,0,15065,14602,14602.0,-1.3892558089581204,5.0,-6.38925580895812,0.7383338864918686
gradient_boosting,test,0.5,0.0,1,15064,14601,14601.0,-1.649747193588919,0.0,-1.649747193588919,0.7382501327668614
gradient_boosting,test,0.5,0.5,1,15064,14601,14601.0,-1.649747193588919,0.5,-2.1497471935889187,0.7382501327668614
gradient_boosting,test,0.5,1.0,1,15064,14601,14601.0,-1.649747193588919,1.0,-2.6497471935889187,0.7382501327668614
gradient_boosting,test,0.5,5.0,1,15064,14601,14601.0,-1.649747193588919,5.0,-6.649747193588919,0.7382501327668614
gradient_boosting,test,0.6,0.0,0,12028,11943,11943.0,-2.3035260610570583,0.0,-2.3035260610570583,0.7860824742268041
gradient_boosting,test,0.6,0.5,0,12028,11943,11943.0,-2.3035260610570583,0.5,-2.8035260610570583,0.7860824742268041
gradient_boosting,test,0.6,1.0,0,12028,11943,11943.0,-2.3035260610570583,1.0,-3.3035260610570583,0.7860824742268041
gradient_boosting,test,0.6,5.0,0,12028,11943,11943.0,-2.3035260610570583,5.0,-7.303526061057058,0.7860824742268041
gradient_boosting,test,0.6,0.0,1,12028,11943,11943.0,1.0110594113930753,0.0,1.0110594113930753,0.7859993348852677
gradient_boosting,test,0.6,0.5,1,12028,11943,11943.0,1.0110594113930753,0.5,0.5110594113930753,0.7859993348852677
gradient_boosting,test,0.6,1.0,1,12028,11943,11943.0,1.0110594113930753,1.0,0.011059411393075314,0.7859993348852677
gradient_boosting,test,0.6,5.0,1,12028,11943,11943.0,1.0110594113930753,5.0,-3.9889405886069245,0.7859993348852677
gradient_boosting,test,0.7,0.0,0,7851,7840,7840.0,0.413767106558161,0.0,0.413767106558161,0.8388740287861419
gradient_boosting,test,0.7,0.5,0,7851,7840,7840.0,0.413767106558161,0.5,-0.08623289344183899,0.8388740287861419
gradient_boosting,test,0.7,1.0,0,7851,7840,7840.0,0.413767106558161,1.0,-0.586232893441839,0.8388740287861419
gradient_boosting,test,0.7,5.0,0,7851,7840,7840.0,0.413767106558161,5.0,-4.586232893441839,0.8388740287861419
gradient_boosting,test,0.7,0.0,1,7852,7841,7841.0,0.5207104862748875,0.0,0.5207104862748875,0.8387671930718288
