source,model_name,lookback,split,metric,n_folds,n_seeds,mean,std,standard_error,ci_level,ci_lower,ci_upper,bootstrap_lower,bootstrap_upper,bootstrap_iterations,n_missing
classical,random_forest,,validation,ece,5,1,0.0937685774823555,0.032373349350117445,0.01447780196124225,0.95,0.053578199237947016,0.13395895572676397,0.06802595269076339,0.11886496367797734,1000,0
classical,ridge,,test,accuracy,5,1,0.6126442514594794,0.021407731089258773,0.009573828391923646,0.95,0.5860673038434994,0.6392211990754595,0.5987245837101377,0.6303370304033056,1000,0
classical,ridge,,test,macro_f1,5,1,0.30866617990813905,0.009202465014151475,0.004115467466441252,0.95,0.2972416422212981,0.32009071759498,0.30202797745082055,0.3159330990461732,1000,0
classical,ridge,,test,mcc,5,1,0.11158592211250618,0.017101777506557846,0.00764814740814804,0.95,0.09035466490748723,0.13281717931752512,0.09700337105578853,0.12297854066408269,1000,0
classical,ridge,,test,brier_score,0,1,,,,0.95,,,,,1000,5
classical,ridge,,test,ece,0,1,,,,0.95,,,,,1000,5
classical,ridge,,validation,accuracy,5,1,0.6446220580241185,0.026007156704297586,0.01163075405845976,0.95,0.6123350847578343,0.6769090312904028,0.624961094792751,0.6642830212554861,1000,0
classical,ridge,,validation,macro_f1,5,1,0.3206994751816313,0.018356181296263253,0.008209133837150967,0.95,0.2979109196497002,0.3434880307135624,0.30545337201887246,0.3343982612073207,1000,0
classical,ridge,,validation,mcc,5,1,0.10785901605915589,0.02404746570672441,0.01075435360136616,0.95,0.07800493046176343,0.13771310165654835,0.08908748059879742,0.12663055151951436,1000,0
classical,ridge,,validation,brier_score,0,1,,,,0.95,,,,,1000,5
classical,ridge,,validation,ece,0,1,,,,0.95,,,,,1000,5
neural,deeplob_style,20.0,test,accuracy,5,1,0.4815241102358196,0.029981053638598258,0.013407934794594623,0.95,0.4443036832460249,0.5187445372256143,0.4586663568661654,0.5046068243637027,1000,0
neural,deeplob_style,20.0,test,macro_f1,5,1,0.4752855918327885,0.030660614321738597,0.013711843571062221,0.95,0.4372215140795198,0.5133496695860572,0.4512654736844718,0.4993057099811053,1000,0
neural,deeplob_style,20.0,test,mcc,5,1,0.29319954642908513,0.030424264413204963,0.01360614467867081,0.95,0.255428888801095,0.3309702040570753,0.27150344432447526,0.3169617429098843,1000,0
neural,deeplob_style,20.0,test,brier_score,5,1,0.7635660346752561,0.12698203790192106,0.05678809373403005,0.95,0.6059222864695887,0.9212097828809235,0.6703498991442163,0.8593782349514052,1000,0
neural,deeplob_style,20.0,test,ece,5,1,0.2990523379587013,0.08830238101556298,0.039490025305177145,0.95,0.18942802771152956,0.408676648205873,0.24172181682772545,0.3667090982159708,1000,0
neural,matrix_transformer,20.0,test,accuracy,5,1,0.8008005014065495,0.024954737680389034,0.01116009796280506,0.95,0.7698200694618026,0.8317809333512963,0.7802154878517529,0.8175629639092549,1000,0
neural,matrix_transformer,20.0,test,macro_f1,5,1,0.733732432176707,0.03134330308331139,0.014017151266732603,0.95,0.6948208202602573,0.7726440440931568,0.7073933055992909,0.7535296067915651,1000,0
neural,matrix_transformer,20.0,test,mcc,5,1,0.6288492829430028,0.03952268965428566,0.01767508414412208,0.95,0.5797832493589199,0.6779153165270857,0.5939884412181651,0.6540587409269778,1000,0
neural,matrix_transformer,20.0,test,brier_score,5,1,0.2738096529709252,0.03697307211785215,0.0165348605185039,0.95,0.22790888017155836,0.319710425770292,0.2504274442003336,0.3049635697070968,1000,0
neural,matrix_transformer,20.0,test,ece,5,1,0.03151656902340332,0.014313632433910605,0.006401251025433975,0.95,0.013746696176798606,0.04928644187000804,0.02182042954304264,0.04390668271319246,1000,0
