ablation_name,ablation_type,status,model_name,split,horizon,feature_group,lookback,calibration_bins,cost_bps,latency_steps,metric_name,metric_value,source_experiment,warning
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_1.count,0.0,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_1.mean_confidence,0.15,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_1.accuracy,0.0,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_1.confidence_gap,0.0,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_2.count,0.0,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_2.mean_confidence,0.25,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_2.accuracy,0.0,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_2.confidence_gap,0.0,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_3.count,2244.0,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_3.mean_confidence,0.3774990333328396,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_3.accuracy,0.3306595365418895,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_3.confidence_gap,0.04683949679095,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_4.count,9981.0,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_4.mean_confidence,0.4521200726505796,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_4.accuracy,0.3832281334535617,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_4.confidence_gap,0.0688919391970178,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_5.count,8968.0,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_5.mean_confidence,0.5467295473442552,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_5.accuracy,0.4025423728813559,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_5.confidence_gap,0.1441871744628992,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_6.count,6018.0,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_6.mean_confidence,0.6454745450992454,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_6.accuracy,0.3966434031239614,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_6.confidence_gap,0.2488311419752839,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_7.count,3128.0,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_7.mean_confidence,0.741216766543172,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_7.accuracy,0.5108695652173914,experiments/baseline,none
