pretraining_objective,horizon,threshold,n_groups,mean_retained_fraction,mean_active_fraction,mean_abstention_fraction,mean_classification_accuracy,mean_macro_f1,mean_directional_hit_rate,mean_gross_directional_proxy,mean_cost_adjusted_proxy,mean_signal_change_rate,mean_turnover_adjusted_cost_proxy
next_field,20,0.85,7,0.0457580600211839,0.0100864994828438,0.8999372347568436,0.7937073055369946,0.3364039605785923,0.1348935974205435,-175.14285714285714,-175.14285714285714,0.0100867573441542,-0.730212805158913
next_field,20,0.9,6,0.0201806237828864,0.0032794146457806,0.9331857472854208,0.8756513759445985,0.3560686639032459,0.2420674346903855,-46.66666666666666,-46.66666666666666,0.0032794984496916,-0.515865130619229
next_field,20,0.95,1,0.0001533232821403,0.0,1.0,1.0,0.3333333333333333,,0.0,0.0,0.0,
next_field,50,0.33,15,1.0,0.7263363237361796,0.2736636762638203,0.4116148442114458,0.3822988716148037,0.4030905770290378,-4668.333333333333,-4668.333333333333,0.7263568520368937,-0.1938188459419245
next_field,50,0.35,15,0.9931475083606656,0.7214719504783526,0.2729572620929132,0.4122119990369623,0.3825503417669688,0.4034784151098088,-4611.866666666667,-4611.866666666667,0.7214923417272617,-0.1930431697803823
next_field,50,0.4,15,0.7519452749768416,0.5370349334322815,0.3375676665451463,0.4235164856432087,0.3821467439939504,0.4017588260207083,-2384.4666666666667,-2384.4666666666667,0.5370501587810393,-0.1964823479585833
next_field,50,0.45,15,0.5540248469812786,0.3817847639577058,0.3451650983712326,0.432153139077679,0.3697705560592387,0.4615781738037214,-1397.1333333333334,-1397.1333333333334,0.3817955497996478,-0.0768436523925571
next_field,50,0.5,14,0.3899797570071742,0.2670836651955637,0.3044983554630506,0.4669837931340583,0.38625925131617,0.4633917075663729,-758.8571428571429,-758.8571428571429,0.2670912478937935,-0.073216584867254
next_field,50,0.55,14,0.2812134713128415,0.1722669767234782,0.3359170353581039,0.4947318983140924,0.3782621948749906,0.4715266837050027,-477.6428571428572,-477.6428571428572,0.1722719297549697,-0.0569466325899945
next_field,50,0.6,14,0.1776947499132352,0.1103365286471896,0.351481550513802,0.5248650830622409,0.3653350793635118,0.4732185298646975,-351.35714285714283,-351.35714285714283,0.1103397575696495,-0.0535629402706049
next_field,50,0.65,12,0.1154331530441531,0.0843206270015355,0.2783107758496908,0.583154359058352,0.3863715203297348,0.4845210751240543,-325.4166666666667,-325.4166666666667,0.0843231494652552,-0.0309578497518912
